City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.2,scattered clouds,-23.1203,-134.9692,People ThankYou
4,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
13,Atuona,PF,78.78,light rain,-9.8,-139.0333,Villa Enata
21,Hilo,US,85.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Kattivakkam,IN,85.06,few clouds,13.2167,80.3167,Euronova Freezer
24,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
27,Garowe,SO,77.86,scattered clouds,8.4054,48.4845,Curubo Hotel
28,Faanui,PF,82.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Kutum,SD,79.75,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
31,Rayagada,IN,80.55,clear sky,19.1667,83.4167,"Hotel Swagath, Rayagada"
36,Benjamin Constant,BR,80.73,thunderstorm,-4.3831,-70.0311,CASA AVALIADA
38,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
40,Buchanan,LR,79.99,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
45,Kieta,PG,83.5,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
46,Mormugao,IN,82.11,few clouds,15.4,73.8,Coconut Creek Resort
47,Lazaro Cardenas,MX,85.93,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
52,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
53,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Wajid,SO,75.94,overcast clouds,3.8093,43.2471,xamdihotelresturant114
59,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Bandarbeyla,SO,82.99,few clouds,9.4942,50.8122,JABIR HOTEL
62,Kandrian,PG,79.84,light rain,-6.2167,149.55,Kandrian Station
67,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
69,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
74,San Patricio,US,84.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
75,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Butaritari,KI,81.81,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
82,Mulege,MX,85.87,clear sky,26.8833,-111.9833,Casa Granada
85,Puerto Narino,CO,78.71,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
93,Puro,PH,79.97,overcast clouds,12.4841,123.3827,
