City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.2,65,31,20.31,scattered clouds
1,Nikolskoye,RU,59.7035,30.7861,37.87,54,100,7.65,overcast clouds
2,Atasu,KZ,48.6814,71.6433,55.62,40,98,7.9,overcast clouds
3,Stoughton,US,42.1251,-71.1023,52.56,36,89,7,overcast clouds
4,Manta,EC,-0.95,-80.7333,82.18,74,40,5.75,scattered clouds
5,Saskylakh,RU,71.9167,114.0833,24.46,93,100,10.29,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,29.82,95,100,3.96,snow
7,Ushuaia,AR,-54.8,-68.3,40.66,60,40,26.46,scattered clouds
8,Iqaluit,CA,63.7506,-68.5145,13.73,56,75,8.05,broken clouds
9,Kruisfontein,ZA,-34.0033,24.7314,57.87,62,12,2.42,few clouds
10,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,27,8.59,scattered clouds
11,Santiago Del Estero,AR,-27.7951,-64.2615,67.66,33,100,4.99,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,48.07,88,15,1.34,few clouds
13,Atuona,PF,-9.8,-139.0333,78.78,78,57,19.62,light rain
14,Yar-Sale,RU,66.8333,70.8333,15.57,86,100,5.95,overcast clouds
15,Tura,IN,25.5198,90.2201,74.52,80,0,3.44,clear sky
16,Bluff,NZ,-46.6,168.3333,49.06,85,50,7.54,scattered clouds
17,Khatanga,RU,71.9667,102.5,14.14,93,99,6.69,overcast clouds
18,Westport,US,41.1415,-73.3579,56.82,21,0,17.27,clear sky
19,Jamestown,US,42.097,-79.2353,46.02,38,0,10.36,clear sky
20,Busselton,AU,-33.65,115.3333,54.37,80,39,6.06,scattered clouds
21,Hilo,US,19.7297,-155.09,85.28,75,75,8.05,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,61.92,88,75,13.8,broken clouds
23,Kattivakkam,IN,13.2167,80.3167,85.06,89,19,14.94,few clouds
24,Kahului,US,20.8947,-156.47,87.82,45,40,18.41,scattered clouds
25,Kodiak,US,57.79,-152.4072,41.95,70,99,14.83,overcast clouds
26,Dunedin,NZ,-45.8742,170.5036,52,78,1,2.21,clear sky
27,Garowe,SO,8.4054,48.4845,77.86,62,37,9.28,scattered clouds
28,Faanui,PF,-16.4833,-151.75,82.29,69,7,23.53,clear sky
29,Flinders,AU,-34.5833,150.8552,67.37,90,1,5.99,clear sky
30,Kutum,SD,14.2,24.6667,79.75,12,85,6.4,overcast clouds
31,Rayagada,IN,19.1667,83.4167,80.55,65,4,2.17,clear sky
32,Dudinka,RU,69.4058,86.1778,3.34,99,100,4.81,overcast clouds
33,Hami,CN,42.8,93.45,54.79,20,77,11.79,broken clouds
34,Albany,US,42.6001,-73.9662,52.45,24,15,7,few clouds
35,Mahebourg,MU,-20.4081,57.7,74.25,94,20,6.91,few clouds
36,Benjamin Constant,BR,-4.3831,-70.0311,80.73,83,75,6.91,thunderstorm
37,Norman Wells,CA,65.282,-126.8329,39.24,56,75,12.66,broken clouds
38,Avarua,CK,-21.2078,-159.775,84.25,70,20,18.41,few clouds
39,Bredasdorp,ZA,-34.5322,20.0403,56.8,94,66,2.37,broken clouds
40,Buchanan,LR,5.8808,-10.0467,79.99,85,87,7.85,light rain
41,Ponta Do Sol,PT,32.6667,-17.1,65.71,81,95,1.5,overcast clouds
42,Narsaq,GL,60.9167,-46.05,48.42,74,100,1.99,overcast clouds
43,Baymak,RU,52.5933,58.3225,51.58,82,16,5.44,few clouds
44,Khvoynaya,RU,58.9,34.5333,28.62,77,48,4.92,scattered clouds
45,Kieta,PG,-6.2167,155.6333,83.5,69,87,3,overcast clouds
46,Mormugao,IN,15.4,73.8,82.11,81,16,3.89,few clouds
47,Lazaro Cardenas,MX,17.9583,-102.2,85.93,51,1,13.67,clear sky
48,Hermanus,ZA,-34.4187,19.2345,54.81,88,98,3.42,overcast clouds
49,Krasnyy Chikoy,RU,50.3643,108.7512,24.89,69,0,3.83,clear sky
50,Cidreira,BR,-30.1811,-50.2056,66.74,88,99,9.93,overcast clouds
51,San Cristobal,VE,7.7669,-72.225,73.58,75,87,0.96,overcast clouds
52,Tiarei,PF,-17.5333,-149.3333,86.02,75,31,23.09,light rain
53,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,13,9.53,few clouds
54,East London,ZA,-33.0153,27.9116,65.84,49,1,6.64,clear sky
55,Vinkovci,HR,45.2883,18.8047,55.26,93,75,6.91,broken clouds
56,Wajid,SO,3.8093,43.2471,75.94,81,95,9.46,overcast clouds
57,Bethel,US,41.3712,-73.414,53.96,27,0,19.57,clear sky
58,Dikson,RU,73.5069,80.5464,7.93,91,89,20,overcast clouds
59,Kapaa,US,22.0752,-159.319,80.58,84,75,13.8,light rain
60,Bandarbeyla,SO,9.4942,50.8122,82.99,78,24,6.89,few clouds
61,Barrow,US,71.2906,-156.7887,8.62,78,75,20.71,haze
62,Kandrian,PG,-6.2167,149.55,79.84,84,89,2.95,light rain
63,Marsaxlokk,MT,35.8419,14.5431,63.21,72,0,11.5,clear sky
64,Castro,BR,-24.7911,-50.0119,65.26,87,74,4.09,broken clouds
65,Torbay,CA,47.6666,-52.7314,40.87,92,100,8.05,fog
66,New Norfolk,AU,-42.7826,147.0587,58.5,86,3,3.11,clear sky
67,Ahuimanu,US,21.4447,-157.8378,83.91,62,20,13.8,few clouds
68,Upernavik,GL,72.7868,-56.1549,15.98,87,39,3.85,scattered clouds
69,Vaini,TO,-21.2,-175.2,78.96,69,40,12.66,scattered clouds
70,Kendari,ID,-3.945,122.4989,74.8,95,88,2.93,overcast clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,100,11.5,light snow
72,San Quintin,MX,30.4833,-115.95,62.69,62,7,23.11,clear sky
73,Kushiro,JP,42.975,144.3747,49.15,40,0,6.91,clear sky
74,San Patricio,US,28.017,-97.5169,84.29,57,17,19.57,few clouds
75,Saint George,US,37.1041,-113.5841,84.63,6,0,21.85,clear sky
76,Cherskiy,RU,68.75,161.3,17.24,93,100,10.6,overcast clouds
77,Namibe,AO,-15.1961,12.1522,73.35,70,26,2.66,scattered clouds
78,Hobart,AU,-42.8794,147.3294,58.86,93,20,8.05,few clouds
79,Butaritari,KI,3.0707,172.7902,81.81,79,99,15.93,overcast clouds
80,Aksu,CN,41.1231,80.2644,54.48,50,2,8.84,clear sky
81,Ladybrand,ZA,-29.1945,27.4574,49.68,63,4,4.07,clear sky
82,Mulege,MX,26.8833,-111.9833,85.87,27,2,9.55,clear sky
83,Rio Grande,BR,-32.035,-52.0986,59.11,82,59,10.42,broken clouds
84,Tawang,IN,27.5833,91.8667,46.04,84,61,2.82,broken clouds
85,Puerto Narino,CO,-3.7703,-70.3831,78.71,92,97,2.95,overcast clouds
86,Huilong,CN,31.8111,121.655,54.93,90,100,16.67,overcast clouds
87,Thompson,CA,55.7435,-97.8558,48.36,43,100,8.05,overcast clouds
88,Ahipara,NZ,-35.1667,173.1667,63.52,70,4,8.61,clear sky
89,San Isidro,PE,-12.1167,-77.05,66.51,52,84,9.22,broken clouds
90,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,6.91,few clouds
91,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,11.5,clear sky
92,Roebourne,AU,-20.7833,117.1333,71.6,85,100,13.13,light rain
93,Puro,PH,12.4841,123.3827,79.97,83,95,10.04,overcast clouds
94,Pacific Grove,US,36.6177,-121.9166,66.87,69,0,18.41,clear sky
95,Wajima,JP,37.4,136.9,53.91,69,100,19.77,overcast clouds
96,Vostok,RU,46.4856,135.8833,36.72,55,0,2.86,clear sky
97,Bonavista,CA,48.6499,-53.1147,37.94,86,100,7.49,overcast clouds
98,Tiznit,MA,29.5833,-9.5,58.78,71,34,8.86,scattered clouds
99,Hirara,JP,24.8,125.2833,79.07,94,40,13.8,scattered clouds
100,Souillac,MU,-20.5167,57.5167,71.98,94,20,6.91,few clouds
101,Neiafu,TO,-18.65,-173.9833,83.08,78,75,13.8,light rain
102,Kawalu,ID,-7.3817,108.2082,72.12,94,93,2.62,overcast clouds
103,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,25.32,scattered clouds
104,Gogrial,SS,8.5332,28.1004,83.79,53,100,7.92,overcast clouds
105,Solnechnyy,RU,50.7214,136.6319,34.65,74,35,2.86,scattered clouds
